Frase;Sentimento
não precisei pagar o ingresso;alegria
se eu ajeitar tudo fica bem;alegria
minha fortuna ultrapassa a sua;alegria
sou muito afortunado;alegria
e benefico para todos esta nova medida;alegria
ficou lindo;alegria
achei esse sapato muito simpático;alegria
estou ansiosa pela sua chegada;alegria
congratulações pelo seu aniversário;alegria
delicadamente ele a colocou para dormir;alegria
a musica e linda;alegria
sem musica eu não vivo;alegria
conclui uma tarefa muito difícil;alegria
conclui minha graduação;alegria
estou muito contente com tudo;alegria
eu confio em você;alegria
e um prazer conhecê-lo;alegria
o coleguismo de vocês e animador;alegria
estou aproveitando as ferias;alegria
vamos aproveitar as ferias;alegria
e muito divertido este jogo;alegria
vamos ter muita diversão;alegria
não achei que me divertiria tanto assim;alegria
vou consentir o orçamento ao cliente;alegria
com o consentimento dos meus pais podemos nos casar;alegria
eu adorei este perfume;alegria
sua bondade e cativante;alegria
estou despreocupada;alegria
não me preocupo com o que aconteceu;alegria
me sinto completamente segura;alegria
estimo muito o seu trabalho;alegria
somos estimados por nossa família;alegria
concretizamos nossa ideia;alegria
nosso ideal foi alcançado;alegria
estamos muito felizes juntos;alegria
estou tão animada com os preparativos para o casamento;alegria
você será muito amado meu filho;alegria
os apaixonados são maravilhosos;alegria
agradeço imensamente o seu apoio nestes dias;alegria
esta comida me parece muito atraente;alegria
você me completa;alegria
poderemos completar o projeto hoje!;alegria
estamos namorando;alegria
estou namorando este vestido a um tempo;alegria
pude comprar meu celular hoje;alegria
e um deleite poder compartilhar minhas vitórias;alegria
ela e um boa garota;alegria
estivemos em um ótimo show;alegria
ate que enfim, não agüentava mais te esperar;raiva
eu quero meu dinheiro de volta agora!;raiva
eu odeio a escola!;raiva
pqp, que merda de festa;raiva
eu nunca tiro notas altas, que droga;raiva
fiquei chapado e bati o carro, pqp que raiva;raiva
nao passei no vestibular por pouco, ridiculo esse teste!;raiva
vou fazer picadinho de você;raiva
detesto trabalhar no verão;raiva
quero minha comida, e quero agora!;raiva
melhor você recolher minhas compras agora!;raiva
quero descer agora sua maluca;raiva
vou reclamar com o gerente!;raiva
vai engolir o que disse!;raiva
ele me ridiculariza diante de todos;raiva
não quero mais saber de você;raiva
vejo você na cadeia safado!;raiva
agora vou ter que pagar mais isso ainda!;raiva
saia logo do banheiro!;raiva
suba já para o seu quarto!;raiva
eu falei para calar a boca seu idiota!;raiva
eu disse para você cair fora!;raiva
não agüento mais que fiquem me culpando sem motivo!;raiva
não suporto olhar na sua cara!;raiva
eu não sou um elefante;raiva
juro que se olhar pra mim eu o mato!;raiva
chega, não quero saber mais deste assunto;raiva
como pode ser tão burro?;raiva
não me aborreça seu moleque;raiva
não quero me aborrecer com estas bobagens;raiva
ele me agrediu!;raiva
eu amaldiçôo você e a sua família;raiva
não me amole;raiva
não venha me amolar;raiva
isso tudo e uma tormenta;raiva
eu vou matar você;raiva
para que simplificar se você pode sempre complicar;raiva
isso esta me enlouquecendo;raiva
estou furiosa com você;raiva
isso mesmo fique furioso;raiva
isso tudo e um erro;tristeza
eu sou errada eu sou errante;tristeza
tenho muito dó do cachorro;tristeza
e dolorida a perda de um filho;tristeza
essa tragedia vai nos abalar para sempre;tristeza
perdi meus filhos;tristeza
ela nao para de chorar a morte do maridotristeza
ela perdeu um filho no abortotristeza
os pais deles morreram em um acidentetristeza
o aviao caiu no mar e nao tiveram mais noticiastristeza
perdi meu curso;tristeza
sou só uma chorona;tristeza
você e um chorão;tristeza
se arrependimento matasse;tristeza
me sinto deslocado em sala de aula;tristeza
foi uma passagem fúnebre;tristeza
nossa condolências e tristeza a sua perda;tristeza
desanimo, raiva, solidão ou vazies, depressão;tristeza
vivo te desanimando;tristeza
estou desanimado;tristeza
imperador sanguinário, depravado e temeroso;tristeza
meu ser esta em agonia;tristeza
este atrito entre nos tem que acabar;tristeza
a escuridão desola meu ser;tristeza
sua falsa preocupação;tristeza
sua falsidade me entristece;tristeza
quem esta descontente com os outros esta descontente consigo próprio;tristeza
a torcida esta descontente com a demissão do tecnico;tristeza
estou bastante aborrecido com o jornal;tristeza
me sinto solitário e entediado;tristeza
a vida e solitária para aqueles que não são falsos;tristeza
como com compulsão depois da depressão;tristeza
estou me desencorajando a viver;tristeza
ele desencoraja minhas vontades;tristeza
isso vai deprimindo por dentro;tristeza
acho que isso e defeituoso;tristeza
os remedios me derrubam na cama;tristeza
a depressão vai me derrubar;tristeza
suas desculpas são falsas;tristeza
não magoe as pessoas;tristeza
Eu achei este sapato muito bonito;alegria
Anseio pela sua chegada;alegria
parabéns por seu aniversário;alegria
ele a colocou delicadamente para dormir;alegria
a música e a beleza;alegria
sem música eu não vivo;alegria
conclui uma tarefa muito difícil;alegria
conclui minha graduação;alegria
Estou muito feliz com tudo;alegria
Eu confio em você;alegria
e um prazer em conhecê-lo;alegria
sua colegialidade e alegria
Estou aproveitando as férias;alegria
vamos aproveitar as férias;alegria
e muito divertido este jogo;alegria
teremos muita diversão;alegria
Eu não pensei que me divertiria tanto;alegria
Eu darei o orçamento ao cliente;alegria
com o consentimento de meus pais podemos nos casar;alegria
Adorei este perfume;alegria
sua bondade e cativante;alegria
Estou despreocupado;alegria
Eu não me preocupo com o que aconteceu;alegria
Eu me sinto completamente seguro;alegria
Eu realmente aprecio seu trabalho;alegria
somos estimados por nossa família;alegria
realizamos nossa idéia;alegria
nosso ideal foi alcançado;alegria
somos muito felizes juntos;alegria
Estou tão entusiasmado com os preparativos para o casamento;alegria
você será muito amado meu filho;alegria
os amantes são maravilhosos;alegria
Agradeço imensamente seu apoio nestes dias;alegria
este alimento me parece muito atraente;alegria
você me completa;alegria
podemos concluir o projeto hoje!
estamos namorando;alegria
Eu tenho namorado este vestido há algum tempo;alegria
Eu poderia comprar meu telefone celular hoje;alegria
e um prazer em compartilhar minhas vitórias;alegria
ela é uma boa garota;alegria
estávamos em um grande espetáculo;alegria
Finalmente, eu não suportava mais esperar por você;raiva
Eu quero meu dinheiro de volta agora!;raiva
Eu odeio a escola!;raiva
pqp, que festa de merda;raiva
Eu nunca tomo notas altas, que droga;raiva
Eu fiquei pedrado e bati com o carro, pqp que raiva;raiva
Eu não passei no vestibular por um tempo, ridículo este teste!;raiva
Eu vou fazer você;raiva
Eu odeio trabalhar no verão;raiva
Eu quero minha comida, e quero agora!;raiva
melhor você recolher minhas compras agora!;raiva
Eu quero descer agora você está louco;raiva
eu vou reclamar com o gerente!;raiva
vai engolir o que ele disse!;raiva
ele me ridiculariza na frente de todos;raiva
Eu não me importo mais com você;raiva
Vejo você na cadeia, malandreco!;raiva
agora vou ter que pagar ainda mais por isso!;raiva
saia do banheiro!;raiva
Vá para o seu quarto agora!;raiva
Eu lhe disse para calar a boca, seu idiota!;raiva
Eu lhe disse para sair!;raiva
Não aguento mais se eles continuam me culpando por nada!;raiva
Eu não suporto olhar para seu rosto!;raiva
Eu não sou um elefante;raiva
Eu juro que se você olhar para mim eu te mato!;raiva
já não quero saber mais sobre este assunto;raiva
como você pode ser tão burro?;raiva
não me aborreça seu filho;raiva
Não quero me aborrecer com este absurdo;raiva
ele me agrediu!;raiva
Eu te amaldiçôo e sua família;raiva
não me amoleça;raiva
não venha me moer;raiva
tudo isso e uma tempestade;raiva
Eu vou matar você;raiva
para simplificar se você pode sempre complicar;raiva
isto está me deixando louco;raiva
Estou furioso com você;raiva
isso é certo ficar com raiva;raiva
tudo isso é um erro;tristeza
Estou errado, estou vagueando;tristeza
Tenho muita piedade do cão;tristeza
e dor na perda de uma criança;tristeza
esta tragédia nos abalará para sempre;tristeza
Perdi meus filhos;tristeza
ela não pára de lamentar a morte de seu marido;tristeza
ela perdeu um filho no aborto;tristeza
seus pais morreram em um acidente;tristeza
o avião caiu no mar e não teve mais notícias;tristeza
Perdi meu curso;tristeza
Eu sou apenas um chorão;tristeza
você e um choro;tristeza
se o arrependimento mataria;tristeza
Sinto-me deslocado na sala de aula;tristeza
foi uma passagem fúnebre;tristeza
nossas condolências e tristeza por sua perda;tristeza
desânimo, raiva, solidão ou vazio, depressão;tristeza
Eu continuo desencorajando você;tristeza
estou desanimado;tristeza
Imperador sedento de sangue, depravado e medroso;tristeza
meu ser está em agonia;tristeza



====================
Estou aproveitando as férias;alegria
vamos aproveitar as férias;alegria
e muito divertido este jogo;alegria
teremos muita diversão;alegria
Eu não pensei que me divertiria tanto;alegria
Eu darei o orçamento ao cliente;alegria
com o consentimento de meus pais podemos nos casar;alegria
Adorei este perfume;alegria
sua bondade e cativante;alegria
Estou despreocupado;alegria
Eu não me preocupo com o que aconteceu;alegria
Eu me sinto completamente seguro;alegria
Eu realmente aprecio seu trabalho;alegria
somos estimados por nossa família;alegria
realizamos nossa idéia;alegria
nosso ideal foi alcançado;alegria
somos muito felizes juntos;alegria
Estou tão entusiasmado com os preparativos para o casamento;alegria
você será muito amado meu filho;alegria
os amantes são maravilhosos;alegria
Agradeço imensamente seu apoio nestes dias;alegria
este alimento me parece muito atraente;alegria
você me completa;alegria
podemos concluir o projeto hoje!
estamos namorando;alegria
Eu tenho namorado este vestido há algum tempo;alegria
Eu poderia comprar meu telefone celular hoje;alegria
e um prazer em compartilhar minhas vitórias;alegria
ela é uma boa garota;alegria
estávamos em um grande espetáculo;alegria
Finalmente, eu não suportava mais esperar por você;raiva
Eu quero meu dinheiro de volta agora!;raiva
Eu odeio a escola!;raiva
pqp, que festa de merda;raiva
Eu nunca tomo notas altas, que droga;raiva
Eu fiquei pedrado e bati com o carro, pqp que raiva;raiva
Eu não passei no vestibular por um tempo, ridículo este teste!;raiva
Eu vou fazer você;raiva
Eu odeio trabalhar no verão;raiva
Eu quero minha comida, e quero agora!;raiva
melhor você recolher minhas compras agora!;raiva
Eu quero descer agora você está louco;raiva
eu vou reclamar com o gerente!;raiva
vai engolir o que ele disse!;raiva
ele me ridiculariza na frente de todos;raiva
Eu não me importo mais com você;raiva
Vejo você na cadeia, malandreco!;raiva
agora vou ter que pagar ainda mais por isso!;raiva
saia do banheiro!;raiva
Vá para o seu quarto agora!;raiva
Eu lhe disse para calar a boca, seu idiota!;raiva
Eu lhe disse para sair!;raiva
Não aguento mais se eles continuam me culpando por nada!;raiva
Eu não suporto olhar para seu rosto!;raiva
Eu não sou um elefante;raiva
Eu juro que se você olhar para mim eu te mato!;raiva
já não quero saber mais sobre este assunto;raiva
como você pode ser tão burro?;raiva
não me aborreça seu filho;raiva
Não quero me aborrecer com este absurdo;raiva
ele me agrediu!;raiva
Eu te amaldiçôo e sua família;raiva
não me amoleça;raiva
não venha me moer;raiva
tudo isso e uma tempestade;raiva
Eu vou matar você;raiva
para simplificar se você pode sempre complicar;raiva
isto está me deixando louco;raiva
Estou furioso com você;raiva
isso é certo ficar com raiva;raiva
tudo isso é um erro;tristeza
Estou errado, estou vagueando;tristeza
Tenho muita piedade do cão;tristeza
e dor na perda de uma criança;tristeza
esta tragédia nos abalará para sempre;tristeza
Perdi meus filhos;tristeza
ela não pára de lamentar a morte de seu marido;tristeza
ela perdeu um filho no aborto;tristeza
seus pais morreram em um acidente;tristeza
o avião caiu no mar e não teve mais notícias;tristeza
Perdi meu curso;tristeza
Eu sou apenas um chorão;tristeza
você e um choro;tristeza
se o arrependimento mataria;tristeza
Sinto-me deslocado na sala de aula;tristeza
foi uma passagem fúnebre;tristeza
nossas condolências e tristeza por sua perda;tristeza
desânimo, raiva, solidão ou vazio, depressão;tristeza
Eu continuo desencorajando você;tristeza
estou desanimado;tristeza
Imperador sedento de sangue, depravado e medroso;tristeza
meu ser está em agonia;tristeza
esta fricção entre nós tem que acabar;tristeza
a escuridão assola meu ser;tristeza
sua falsa preocupação;tristeza
sua falsidade me entristece;tristeza
quem está descontente com os outros está descontente consigo mesmo;tristeza
os ventiladores estão descontentes com a demissão do técnico;tristeza
Estou bastante aborrecido com o jornal;tristeza
Sinto-me só e entediado;tristeza
vida e solidão para aqueles que não são falsos;tristeza
como com a compulsão após a depressão;tristeza

sua colegialidade e alegria
Estou aproveitando as férias;alegria
vamos aproveitar as férias;alegria
e muito divertido este jogo;alegria
teremos muita diversão;alegria
Eu não pensei que me divertiria tanto;alegria
Eu darei o orçamento ao cliente;alegria
com o consentimento de meus pais podemos nos casar;alegria
Adorei este perfume;alegria
sua bondade e cativante;alegria
Estou despreocupado;alegria
Eu não me preocupo com o que aconteceu;alegria
Eu me sinto completamente seguro;alegria
Eu realmente aprecio seu trabalho;alegria
somos estimados por nossa família;alegria
realizamos nossa idéia;alegria
nosso ideal foi alcançado;alegria
somos muito felizes juntos;alegria
Estou tão entusiasmado com os preparativos para o casamento;alegria
você será muito amado meu filho;alegria
os amantes são maravilhosos;alegria
Agradeço imensamente seu apoio nestes dias;alegria
este alimento me parece muito atraente;alegria
você me completa;alegria
podemos concluir o projeto hoje!
estamos namorando;alegria
Eu tenho namorado este vestido há algum tempo;alegria
Eu poderia comprar meu telefone celular hoje;alegria
e um prazer em compartilhar minhas vitórias;alegria
ela é uma boa garota;alegria
estávamos em um grande espetáculo;alegria
Finalmente, eu não suportava mais esperar por você;raiva
Eu quero meu dinheiro de volta agora!;raiva
Eu odeio a escola!;raiva
pqp, que festa de merda;raiva
Eu nunca tomo notas altas, que droga;raiva
Eu fiquei pedrado e bati com o carro, pqp que raiva;raiva
Eu não passei no vestibular por um tempo, ridículo este teste!;raiva
Eu vou fazer você;raiva
Eu odeio trabalhar no verão;raiva
Eu quero minha comida, e quero agora!;raiva
melhor você recolher minhas compras agora!;raiva
Eu quero descer agora você está louco;raiva
eu vou reclamar com o gerente!;raiva
vai engolir o que ele disse!;raiva
ele me ridiculariza na frente de todos;raiva
Eu não me importo mais com você;raiva
Vejo você na cadeia, malandreco!;raiva
agora vou ter que pagar ainda mais por isso!;raiva
saia do banheiro!;raiva
Vá para o seu quarto agora!;raiva
Eu lhe disse para calar a boca, seu idiota!;raiva
Eu lhe disse para sair!;raiva
Não aguento mais se eles continuam me culpando por nada!;raiva
Eu não suporto olhar para seu rosto!;raiva
Eu não sou um elefante;raiva
Eu juro que se você olhar para mim eu te mato!;raiva
já não quero saber mais sobre este assunto;raiva
como você pode ser tão burro?;raiva
não me aborreça seu filho;raiva
Não quero me aborrecer com este absurdo;raiva
ele me agrediu!;raiva
Eu te amaldiçôo e sua família;raiva
não me amoleça;raiva
não venha me moer;raiva
tudo isso e uma tempestade;raiva
Eu vou matar você;raiva
para simplificar se você pode sempre complicar;raiva
isto está me deixando louco;raiva
Estou furioso com você;raiva
isso é certo ficar com raiva;raiva
tudo isso é um erro;tristeza
Estou errado, estou vagueando;tristeza
Tenho muita piedade do cão;tristeza
e dor na perda de uma criança;tristeza
esta tragédia nos abalará para sempre;tristeza
Perdi meus filhos;tristeza
ela não pára de lamentar a morte de seu marido;tristeza
ela perdeu um filho no aborto;tristeza
seus pais morreram em um acidente;tristeza
o avião caiu no mar e não teve mais notícias;tristeza
Perdi meu curso;tristeza
Eu sou apenas um chorão;tristeza
você e um choro;tristeza
se o arrependimento mataria;tristeza
Sinto-me deslocado na sala de aula;tristeza
foi uma passagem fúnebre;tristeza
nossas condolências e tristeza por sua perda;tristeza
desânimo, raiva, solidão ou vazio, depressão;tristeza
Eu continuo desencorajando você;tristeza
estou desanimado;tristeza
Imperador sedento de sangue, depravado e medroso;tristeza
meu ser está em agonia;tristeza
esta fricção entre nós tem que acabar;tristeza
a escuridão assola meu ser;tristeza
sua falsa preocupação;tristeza
sua falsidade me entristece;tristeza
quem está descontente com os outros está descontente consigo mesmo;tristeza
os ventiladores estão descontentes com a demissão do técnico;tristeza
Estou bastante aborrecido com o jornal;tristeza
Sinto-me só e entediado;tristeza
vida e solidão para aqueles que não são falsos;tristeza
Eu não pensei que me divertiria tanto;alegria
Eu darei o orçamento ao cliente;alegria
com o consentimento de meus pais podemos nos casar;alegria
Adorei este perfume;alegria
sua bondade e cativante;alegria
Estou despreocupado;alegria
Eu não me preocupo com o que aconteceu;alegria
Eu me sinto completamente seguro;alegria
Eu realmente aprecio seu trabalho;alegria
somos estimados por nossa família;alegria
realizamos nossa idéia;alegria
nosso ideal foi alcançado;alegria
somos muito felizes juntos;alegria
Estou tão entusiasmado com os preparativos para o casamento;alegria
você será muito amado meu filho;alegria
os amantes são maravilhosos;alegria
Agradeço imensamente seu apoio nestes dias;alegria
este alimento me parece muito atraente;alegria
você me completa;alegria
podemos concluir o projeto hoje!
estamos namorando;alegria
Eu tenho namorado este vestido há algum tempo;alegria
Eu poderia comprar meu telefone celular hoje;alegria
e um prazer em compartilhar minhas vitórias;alegria
ela é uma boa garota;alegria
estávamos em um grande espetáculo;alegria
Finalmente, eu não suportava mais esperar por você;raiva
Eu quero meu dinheiro de volta agora!;raiva
Eu odeio a escola!;raiva
pqp, que festa de merda;raiva
Eu nunca tomo notas altas, que droga;raiva
Eu fiquei pedrado e bati com o carro, pqp que raiva;raiva
Eu não passei no vestibular por um tempo, ridículo este teste!;raiva
Eu vou fazer você;raiva
Eu odeio trabalhar no verão;raiva
Eu quero minha comida, e quero agora!;raiva
melhor você recolher minhas compras agora!;raiva
Eu quero descer agora você está louco;raiva
eu vou reclamar com o gerente!;raiva
vai engolir o que ele disse!;raiva
ele me ridiculariza na frente de todos;raiva
Eu não me importo mais com você;raiva
Vejo você na cadeia, malandreco!;raiva
agora vou ter que pagar ainda mais por isso!;raiva
saia do banheiro!;raiva
Vá para o seu quarto agora!;raiva
Eu lhe disse para calar a boca, seu idiota!;raiva
Eu lhe disse para sair!;raiva
Não aguento mais se eles continuam me culpando por nada!;raiva
Eu não suporto olhar para seu rosto!;raiva
Eu não sou um elefante;raiva
Eu juro que se você olhar para mim eu te mato!;raiva
já não quero saber mais sobre este assunto;raiva
como você pode ser tão burro?;raiva
não me aborreça seu filho;raiva
Não quero me aborrecer com este absurdo;raiva
ele me agrediu!;raiva
Eu te amaldiçôo e sua família;raiva
não me amoleça;raiva
não venha me moer;raiva
tudo isso e uma tempestade;raiva
Eu vou matar você;raiva
para simplificar se você pode sempre complicar;raiva
isto está me deixando louco;raiva
Estou furioso com você;raiva
isso é certo ficar com raiva;raiva
tudo isso é um erro;tristeza
Estou errado, estou vagueando;tristeza
Tenho muita piedade do cão;tristeza
e dor na perda de uma criança;tristeza
esta tragédia nos abalará para sempre;tristeza
Perdi meus filhos;tristeza
ela não pára de lamentar a morte de seu marido;tristeza
ela perdeu um filho no aborto;tristeza
seus pais morreram em um acidente;tristeza
o avião caiu no mar e não teve mais notícias;tristeza
Perdi meu curso;tristeza
Eu sou apenas um chorão;tristeza
você e um choro;tristeza
se o arrependimento mataria;tristeza
Sinto-me deslocado na sala de aula;tristeza
foi uma passagem fúnebre;tristeza
nossas condolências e tristeza por sua perda;tristeza
desânimo, raiva, solidão ou vazio, depressão;tristeza
Eu continuo desencorajando você;tristeza
estou desanimado;tristeza
Imperador sedento de sangue, depravado e medroso;tristeza
meu ser está em agonia;tristeza
esta fricção entre nós tem que acabar;tristeza
a escuridão assola meu ser;tristeza
sua falsa preocupação;tristeza
sua falsidade me entristece;tristeza
quem está descontente com os outros está descontente consigo mesmo;tristeza
os ventiladores estão descontentes com a demissão do técnico;tristeza
Estou bastante aborrecido com o jornal;tristeza
Sinto-me só e entediado;tristeza
vida e solidão para aqueles que não são falsos;tristeza
como com a compulsão após a depressão;tristeza
Estou me desencorajando de viver;tristeza
ele desencoraja meus desejos;tristeza
isto é deprimente por dentro;tristeza
Acho que isto é defeituoso;tristeza